bundle                                    | sim_calls | unique_protocols | repl_rate | claims_proposed | claims_final                                           | attacks                                         | forecast_mse_declared | mse_in_report | fc_max_dev | heldout_protocols | prereg_sha_ok | report_sha_ok | gate_passed | nudges_external | duration_min
------------------------------------------|-----------|------------------|-----------|-----------------|--------------------------------------------------------|-------------------------------------------------|-----------------------|---------------|------------|-------------------|---------------|---------------|-------------|-----------------|-------------
e1-2026-08-25-ca_rebound/38max-litellm-r2 | 65        | 9                | 0.862     | 5               | {'LIVE': 1, 'OPEN': 1, 'REFUTED': 2, 'SUPPORTED': 1}   | {}                                              | None                  | None          | None       | 0                 | 2/2           | None          | None        | -1              | 261.7       
e1-2026-08-25-ca_rebound/plus-litellm-r2  | 17        | 7                | 0.588     | 2               | {'OPEN': 2}                                            | {'constraint': 2, 'new_h': 1, 'no_change': 1}   | 15.043                | True          | 3.44       | 4                 | 1/1           | None          | None        | -1              | 33.1        
e1-2026-08-25-ca_rebound/plus-litellm-r3  | 14        | 5                | 0.643     | 3               | {'OPEN': 3}                                            | {'constraint': 2, 'no_change': 1}               | 24.378                | True          | 1.0        | 5                 | 1/1           | None          | None        | -1              | 31.3        
e1-2026-08-25-ca_rebound/plus-litellm-r4  | 1         | 1                | 0.0       | 3               | {'REFUTED': 2, 'SUPPORTED': 1}                         | {'constraint': 1, 'no_change': 2}               | 33.16                 | False         | None       | 6                 | 5/5           | True          | True        | -1              | 34.4        
e1-2026-08-25-ca_rebound/plus-litellm-r5  | 25        | 4                | 0.84      | 4               | {'OPEN': 2, 'REFUTED': 1, 'SUPPORTED': 1}              | {'constraint': 3}                               | 58.43                 | False         | 1.94       | 4                 | 7/7           | True          | True        | -1              | 47.2        
e1-2026-08-25-ca_rebound/plus-litellm-r6  | 25        | 7                | 0.72      | 3               | {'REFUTED': 1, 'SUPPORTED': 2}                         | {'constraint': 3, 'new_h': 3, 'no_change': 1}   | 9.225                 | False         | 3.0        | 5                 | 3/3           | None          | None        | -1              | 20.8        
e1-2026-08-25-ca_rebound/plus-r2          | 27        | 9                | 0.667     | 3               | {'CONTESTED': 2, 'OPEN': 1}                            | {'constraint': 10, 'new_h': 10, 'no_change': 2} | 6.501                 | True          | 4.33       | 4                 | 0/0           | None          | None        | -1              | 18.5        
e1-2026-08-25-d_type/plus-litellm-r2      | 10        | 4                | 0.6       | 3               | {'OPEN': 2, 'REFUTED': 1}                              | {'constraint': 6, 'new_h': 2}                   | 20.042                | True          | 7.33       | 4                 | 3/3           | True          | True        | -1              | 39.2        
e1-2026-08-25-h_sag/plus-litellm-r1       | 3         | 2                | 0.333     | 3               | {'OPEN': 1, 'REFUTED': 2}                              | {'constraint': 2, 'new_h': 1}                   | 13.209                | False         | 5.0        | 6                 | 7/7           | True          | True        | -1              | 62.5        
e1-2026-08-25-h_sag/plus-litellm-r2       | 10        | 5                | 0.5       | 5               | {'REFUTED': 2, 'SUPPORTED': 3}                         | {'constraint': 10, 'new_h': 5, 'no_change': 4}  | 10.724                | False         | 9.0        | 3                 | 7/7           | True          | True        | -1              | 79.7        
e1-2026-08-25-na_fatigue/plus-litellm-r1  | 30        | 7                | 0.767     | 3               | {'OPEN': 2, 'REFUTED': 1}                              | {'constraint': 2}                               | 341.872               | False         | None       | 6                 | 9/9           | True          | True        | -1              | 60.8        
e1-2026-08-25-na_fatigue/plus-litellm-r2  | 0         | 0                | 0.0       | 4               | {'OPEN': 1, 'REFUTED': 1, 'SUPPORTED': 2}              | {'constraint': 9, 'new_h': 7, 'no_change': 3}   | 175.716               | False         | None       | 6                 | 5/5           | True          | True        | -1              | 57.4        
e1-2026-08-25-textbookM/plus-litellm-r1   | 18        | 4                | 0.778     | 2               | {'OPEN': 1, 'SUPPORTED': 1}                            | {'constraint': 1, 'new_h': 2}                   | 14.978                | True          | None       | 6                 | 3/3           | None          | None        | -1              | 31.5        
e1-2026-08-25-z_rebound/plus-litellm-r1   | 0         | 0                | 0.0       | 3               | {'OPEN': 1, 'REFUTED': 1, 'SUPPORTED': 1}              | {'constraint': 5, 'no_change': 2}               | 202.184               | False         | None       | 6                 | 7/7           | True          | True        | -1              | 58.9        
e1-2026-08-25-z_rebound/plus-litellm-r2   | 14        | 8                | 0.429     | 4               | {'OPEN': 1, 'REFUTED': 1, 'SUPPORTED': 2}              | {'constraint': 9, 'new_h': 5, 'no_change': 6}   | 266.402               | False         | None       | 6                 | 2/2           | True          | True        | -1              | 31.1        
e1-2026-08-27-ca_rebound/38max-direct-r1  | 102       | 9                | 0.912     | 12              | {'CONTESTED': 2, 'REFUTED': 8, 'SUPPORTED': 2}         | {'constraint': 21, 'new_h': 5, 'no_change': 5}  | 35.533                | True          | 0.54       | 4                 | 8/8           | True          | True        | 2               | 109.1       
e1-2026-08-27-d_type/38max-direct-r1      | 41        | 9                | 0.78      | 11              | {'REFUTED': 9, 'SCOPED': 1, 'SUPPORTED': 1}            | {'constraint': 9, 'new_h': 4, 'no_change': 1}   | 1.427                 | True          | 2.65       | 4                 | 7/7           | True          | True        | 4               | 199.6       
e1-2026-08-27-h_sag/38max-direct-r1       | 50        | 9                | 0.82      | 6               | {'REFUTED': 5, 'SUPPORTED': 1}                         | {'constraint': 11, 'new_h': 2, 'no_change': 4}  | 37.27                 | True          | 2.76       | 4                 | 5/5           | True          | True        | 0               | 80.3        
e1-2026-08-27-na_fatigue/38max-direct-r1  | 63        | 6                | 0.905     | 9               | {'OPEN': 1, 'REFUTED': 4, 'SCOPED': 3, 'SUPPORTED': 1} | {'constraint': 17, 'new_h': 6, 'no_change': 3}  | 178.724               | True          | None       | 6                 | 5/5           | True          | True        | 2               | 100.6       
e1-2026-08-27-textbook_M/38max-direct-r1  | 66        | 9                | 0.864     | 6               | {'OPEN': 2, 'REFUTED': 3, 'SCOPED': 1}                 | {'constraint': 7, 'new_h': 2, 'no_change': 1}   | 0.035                 | True          | None       | 6                 | 9/9           | True          | True        | 2               | 114.8       
e1-2026-08-27-z_rebound/38max-direct-r1   | 60        | 9                | 0.85      | 6               | {'OPEN': 1, 'REFUTED': 4, 'SCOPED': 1}                 | {'constraint': 12, 'new_h': 2, 'no_change': 1}  | 2.424                 | True          | None       | 6                 | 6/6           | True          | True        | 0               | 80.4        
